filename,w,t,a,b,abtype
abtype1_w10_t0.005.libsvm,10,0.005,900,100,1
abtype1_w10_t0.02.libsvm,10,0.02,900,100,1
abtype1_w10_t0.036.libsvm,10,0.036,900,100,1
abtype1_w10_t0.051.libsvm,10,0.051,900,100,1
abtype1_w10_t0.067.libsvm,10,0.067,900,100,1
abtype1_w10_t0.082.libsvm,10,0.082,900,100,1
abtype1_w10_t0.097.libsvm,10,0.097,900,100,1
abtype1_w10_t0.113.libsvm,10,0.113,900,100,1
abtype1_w10_t0.128.libsvm,10,0.128,900,100,1
abtype1_w10_t0.143.libsvm,10,0.143,900,100,1
abtype1_w10_t0.159.libsvm,10,0.159,900,100,1
abtype1_w10_t0.174.libsvm,10,0.174,900,100,1
abtype1_w10_t0.19.libsvm,10,0.19,900,100,1
abtype1_w10_t0.205.libsvm,10,0.205,900,100,1
abtype1_w10_t0.22.libsvm,10,0.22,900,100,1
abtype1_w10_t0.236.libsvm,10,0.236,900,100,1
abtype1_w10_t0.251.libsvm,10,0.251,900,100,1
abtype1_w10_t0.267.libsvm,10,0.267,900,100,1
abtype1_w10_t0.282.libsvm,10,0.282,900,100,1
abtype1_w10_t0.297.libsvm,10,0.297,900,100,1
abtype1_w10_t0.313.libsvm,10,0.313,900,100,1
abtype1_w10_t0.328.libsvm,10,0.328,900,100,1
abtype1_w10_t0.343.libsvm,10,0.343,900,100,1
abtype1_w10_t0.359.libsvm,10,0.359,900,100,1
abtype1_w10_t0.374.libsvm,10,0.374,900,100,1
abtype1_w10_t0.39.libsvm,10,0.39,900,100,1
abtype1_w10_t0.405.libsvm,10,0.405,900,100,1
abtype1_w10_t0.42.libsvm,10,0.42,900,100,1
abtype1_w10_t0.436.libsvm,10,0.436,900,100,1
abtype1_w10_t0.451.libsvm,10,0.451,900,100,1
abtype1_w10_t0.467.libsvm,10,0.467,900,100,1
abtype1_w10_t0.482.libsvm,10,0.482,900,100,1
abtype1_w10_t0.497.libsvm,10,0.497,900,100,1
abtype1_w10_t0.513.libsvm,10,0.513,900,100,1
abtype1_w10_t0.528.libsvm,10,0.528,900,100,1
abtype1_w10_t0.543.libsvm,10,0.543,900,100,1
abtype1_w10_t0.559.libsvm,10,0.559,900,100,1
abtype1_w10_t0.574.libsvm,10,0.574,900,100,1
abtype1_w10_t0.59.libsvm,10,0.59,900,100,1
abtype1_w10_t0.605.libsvm,10,0.605,900,100,1
abtype1_w15_t0.005.libsvm,15,0.005,900,100,1
abtype1_w15_t0.02.libsvm,15,0.02,900,100,1
abtype1_w15_t0.036.libsvm,15,0.036,900,100,1
abtype1_w15_t0.051.libsvm,15,0.051,900,100,1
abtype1_w15_t0.067.libsvm,15,0.067,900,100,1
abtype1_w15_t0.082.libsvm,15,0.082,900,100,1
abtype1_w15_t0.097.libsvm,15,0.097,900,100,1
abtype1_w15_t0.113.libsvm,15,0.113,900,100,1
abtype1_w15_t0.128.libsvm,15,0.128,900,100,1
abtype1_w15_t0.143.libsvm,15,0.143,900,100,1
abtype1_w15_t0.159.libsvm,15,0.159,900,100,1
abtype1_w15_t0.174.libsvm,15,0.174,900,100,1
abtype1_w15_t0.19.libsvm,15,0.19,900,100,1
abtype1_w15_t0.205.libsvm,15,0.205,900,100,1
abtype1_w15_t0.22.libsvm,15,0.22,900,100,1
abtype1_w15_t0.236.libsvm,15,0.236,900,100,1
abtype1_w15_t0.251.libsvm,15,0.251,900,100,1
abtype1_w15_t0.267.libsvm,15,0.267,900,100,1
abtype1_w15_t0.282.libsvm,15,0.282,900,100,1
abtype1_w15_t0.297.libsvm,15,0.297,900,100,1
abtype1_w15_t0.313.libsvm,15,0.313,900,100,1
abtype1_w15_t0.328.libsvm,15,0.328,900,100,1
abtype1_w15_t0.343.libsvm,15,0.343,900,100,1
abtype1_w15_t0.359.libsvm,15,0.359,900,100,1
abtype1_w15_t0.374.libsvm,15,0.374,900,100,1
abtype1_w15_t0.39.libsvm,15,0.39,900,100,1
abtype1_w15_t0.405.libsvm,15,0.405,900,100,1
abtype1_w15_t0.42.libsvm,15,0.42,900,100,1
abtype1_w15_t0.436.libsvm,15,0.436,900,100,1
abtype1_w15_t0.451.libsvm,15,0.451,900,100,1
abtype1_w15_t0.467.libsvm,15,0.467,900,100,1
abtype1_w15_t0.482.libsvm,15,0.482,900,100,1
abtype1_w15_t0.497.libsvm,15,0.497,900,100,1
abtype1_w15_t0.513.libsvm,15,0.513,900,100,1
abtype1_w15_t0.528.libsvm,15,0.528,900,100,1
abtype1_w15_t0.543.libsvm,15,0.543,900,100,1
abtype1_w15_t0.559.libsvm,15,0.559,900,100,1
abtype1_w15_t0.574.libsvm,15,0.574,900,100,1
abtype1_w15_t0.59.libsvm,15,0.59,900,100,1
abtype1_w15_t0.605.libsvm,15,0.605,900,100,1
abtype1_w20_t0.005.libsvm,20,0.005,900,100,1
abtype1_w20_t0.02.libsvm,20,0.02,900,100,1
abtype1_w20_t0.036.libsvm,20,0.036,900,100,1
abtype1_w20_t0.051.libsvm,20,0.051,900,100,1
abtype1_w20_t0.067.libsvm,20,0.067,900,100,1
abtype1_w20_t0.082.libsvm,20,0.082,900,100,1
abtype1_w20_t0.097.libsvm,20,0.097,900,100,1
abtype1_w20_t0.113.libsvm,20,0.113,900,100,1
abtype1_w20_t0.128.libsvm,20,0.128,900,100,1
abtype1_w20_t0.143.libsvm,20,0.143,900,100,1
abtype1_w20_t0.159.libsvm,20,0.159,900,100,1
abtype1_w20_t0.174.libsvm,20,0.174,900,100,1
abtype1_w20_t0.19.libsvm,20,0.19,900,100,1
abtype1_w20_t0.205.libsvm,20,0.205,900,100,1
abtype1_w20_t0.22.libsvm,20,0.22,900,100,1
abtype1_w20_t0.236.libsvm,20,0.236,900,100,1
abtype1_w20_t0.251.libsvm,20,0.251,900,100,1
abtype1_w20_t0.267.libsvm,20,0.267,900,100,1
abtype1_w20_t0.282.libsvm,20,0.282,900,100,1
abtype1_w20_t0.297.libsvm,20,0.297,900,100,1
abtype1_w20_t0.313.libsvm,20,0.313,900,100,1
abtype1_w20_t0.328.libsvm,20,0.328,900,100,1
abtype1_w20_t0.343.libsvm,20,0.343,900,100,1
abtype1_w20_t0.359.libsvm,20,0.359,900,100,1
abtype1_w20_t0.374.libsvm,20,0.374,900,100,1
abtype1_w20_t0.39.libsvm,20,0.39,900,100,1
abtype1_w20_t0.405.libsvm,20,0.405,900,100,1
abtype1_w20_t0.42.libsvm,20,0.42,900,100,1
abtype1_w20_t0.436.libsvm,20,0.436,900,100,1
abtype1_w20_t0.451.libsvm,20,0.451,900,100,1
abtype1_w20_t0.467.libsvm,20,0.467,900,100,1
abtype1_w20_t0.482.libsvm,20,0.482,900,100,1
abtype1_w20_t0.497.libsvm,20,0.497,900,100,1
abtype1_w20_t0.513.libsvm,20,0.513,900,100,1
abtype1_w20_t0.528.libsvm,20,0.528,900,100,1
abtype1_w20_t0.543.libsvm,20,0.543,900,100,1
abtype1_w20_t0.559.libsvm,20,0.559,900,100,1
abtype1_w20_t0.574.libsvm,20,0.574,900,100,1
abtype1_w20_t0.59.libsvm,20,0.59,900,100,1
abtype1_w20_t0.605.libsvm,20,0.605,900,100,1
abtype1_w25_t0.005.libsvm,25,0.005,900,100,1
abtype1_w25_t0.02.libsvm,25,0.02,900,100,1
abtype1_w25_t0.036.libsvm,25,0.036,900,100,1
abtype1_w25_t0.051.libsvm,25,0.051,900,100,1
abtype1_w25_t0.067.libsvm,25,0.067,900,100,1
abtype1_w25_t0.082.libsvm,25,0.082,900,100,1
abtype1_w25_t0.097.libsvm,25,0.097,900,100,1
abtype1_w25_t0.113.libsvm,25,0.113,900,100,1
abtype1_w25_t0.128.libsvm,25,0.128,900,100,1
abtype1_w25_t0.143.libsvm,25,0.143,900,100,1
abtype1_w25_t0.159.libsvm,25,0.159,900,100,1
abtype1_w25_t0.174.libsvm,25,0.174,900,100,1
abtype1_w25_t0.19.libsvm,25,0.19,900,100,1
abtype1_w25_t0.205.libsvm,25,0.205,900,100,1
abtype1_w25_t0.22.libsvm,25,0.22,900,100,1
abtype1_w25_t0.236.libsvm,25,0.236,900,100,1
abtype1_w25_t0.251.libsvm,25,0.251,900,100,1
abtype1_w25_t0.267.libsvm,25,0.267,900,100,1
abtype1_w25_t0.282.libsvm,25,0.282,900,100,1
abtype1_w25_t0.297.libsvm,25,0.297,900,100,1
abtype1_w25_t0.313.libsvm,25,0.313,900,100,1
abtype1_w25_t0.328.libsvm,25,0.328,900,100,1
abtype1_w25_t0.343.libsvm,25,0.343,900,100,1
abtype1_w25_t0.359.libsvm,25,0.359,900,100,1
abtype1_w25_t0.374.libsvm,25,0.374,900,100,1
abtype1_w25_t0.39.libsvm,25,0.39,900,100,1
abtype1_w25_t0.405.libsvm,25,0.405,900,100,1
abtype1_w25_t0.42.libsvm,25,0.42,900,100,1
abtype1_w25_t0.436.libsvm,25,0.436,900,100,1
abtype1_w25_t0.451.libsvm,25,0.451,900,100,1
abtype1_w25_t0.467.libsvm,25,0.467,900,100,1
abtype1_w25_t0.482.libsvm,25,0.482,900,100,1
abtype1_w25_t0.497.libsvm,25,0.497,900,100,1
abtype1_w25_t0.513.libsvm,25,0.513,900,100,1
abtype1_w25_t0.528.libsvm,25,0.528,900,100,1
abtype1_w25_t0.543.libsvm,25,0.543,900,100,1
abtype1_w25_t0.559.libsvm,25,0.559,900,100,1
abtype1_w25_t0.574.libsvm,25,0.574,900,100,1
abtype1_w25_t0.59.libsvm,25,0.59,900,100,1
abtype1_w25_t0.605.libsvm,25,0.605,900,100,1
abtype1_w30_t0.005.libsvm,30,0.005,900,100,1
abtype1_w30_t0.02.libsvm,30,0.02,900,100,1
abtype1_w30_t0.036.libsvm,30,0.036,900,100,1
abtype1_w30_t0.051.libsvm,30,0.051,900,100,1
abtype1_w30_t0.067.libsvm,30,0.067,900,100,1
abtype1_w30_t0.082.libsvm,30,0.082,900,100,1
abtype1_w30_t0.097.libsvm,30,0.097,900,100,1
abtype1_w30_t0.113.libsvm,30,0.113,900,100,1
abtype1_w30_t0.128.libsvm,30,0.128,900,100,1
abtype1_w30_t0.143.libsvm,30,0.143,900,100,1
abtype1_w30_t0.159.libsvm,30,0.159,900,100,1
abtype1_w30_t0.174.libsvm,30,0.174,900,100,1
abtype1_w30_t0.19.libsvm,30,0.19,900,100,1
abtype1_w30_t0.205.libsvm,30,0.205,900,100,1
abtype1_w30_t0.22.libsvm,30,0.22,900,100,1
abtype1_w30_t0.236.libsvm,30,0.236,900,100,1
abtype1_w30_t0.251.libsvm,30,0.251,900,100,1
abtype1_w30_t0.267.libsvm,30,0.267,900,100,1
abtype1_w30_t0.282.libsvm,30,0.282,900,100,1
abtype1_w30_t0.297.libsvm,30,0.297,900,100,1
abtype1_w30_t0.313.libsvm,30,0.313,900,100,1
abtype1_w30_t0.328.libsvm,30,0.328,900,100,1
